entrada_1,entrada_2,saida_desejada,significado
0.20,0.15,0.0,Muito Pequena e leve
0.30,0.25,0.0,Pequena e Leve
0.10,0.50,0.0,Leve mas media
0.50,0.10,0.0,Pesada mas muito fina
0.25,0.35,0.0,Abaixo da media
0.40,0.40,0.0,Borda ruim
0.55,0.55,1.0,Acima da media
0.65,0.60,1.0,Boa
0.70,0.75,1.0,Boa
0.80,0.85,1.0,Muito boa
0.90,0.90,1.0,Excelente
0.85,0.70,1.0,Boa
0.60,0.65,1.0,Boa
0.75,0.80,1.0,Muito boa
0.95,0.95,1.0,Excelente
0.15,0.80,0.0,Leve mas larga
0.80,0.20,0.0,Pesada mais fina
0.35,0.30,0.0,Ruim
0.45,0.50,0.0,Borda ruim
0.50,0.55,1.0,Borda boa
